"","state","friday","deaths","positives","negatives"
"360","KY",2020-08-28,54,4492,51691
"361","LA",2020-08-28,217,5224,85148
"362","MA",2020-08-28,121,2368,135543
"363","MD",2020-08-28,62,3765,83238
"364","ME",2020-08-28,3,151,27157
"365","MI",2020-08-28,78,6518,251654
"366","MN",2020-08-28,60,5107,55066
"367","MO",2020-08-28,45,8028,50499
"368","MS",2020-08-28,199,4971,28109
"369","MT",2020-08-28,11,847,33401
"370","NC",2020-08-28,158,10579,141427
"371","ND",2020-08-28,6,1634,9348
"372","NE",2020-08-28,18,1753,16899
"373","NH",2020-08-28,4,166,16309
"374","NJ",2020-08-28,38,2154,131348
"375","NM",2020-08-28,30,969,44573
"376","NV",2020-08-28,102,3419,18821
"377","NY",2020-08-28,34,4255,546375
"378","OH",2020-08-28,150,7078,197082
"379","OK",2020-08-28,71,4514,50364
"380","OR",2020-08-28,33,1633,30913
"381","PA",2020-08-28,97,4358,89326
"382","RI",2020-08-28,16,661,20276
"383","SC",2020-08-28,196,5573,17755
"384","SD",2020-08-28,6,1633,7532
"385","TN",2020-08-28,152,9971,164295
"386","TX",2020-08-28,1215,34188,228148
"387","UT",2020-08-28,24,2503,25845
"388","VA",2020-08-28,114,6732,95743
"389","VT",2020-08-28,0,48,9709
"390","WA",2020-08-28,53,1289,37611
"391","WI",2020-08-28,46,5117,53769
"392","WV",2020-08-28,32,758,34504
"393","AK",2020-08-21,3,534,25072
"394","AL",2020-08-21,97,6461,65655
"395","AR",2020-08-21,76,3260,66671
"396","AZ",2020-08-21,265,5178,55235
"397","CA",2020-08-21,825,49261,723513
"398","CO",2020-08-21,52,2011,33710
"399","CT",2020-08-21,7,622,84058
"400","DC",2020-08-21,8,351,22402
"401","DE",2020-08-21,7,430,10103
"402","FL",2020-08-21,1028,30001,176646
"403","GA",2020-08-21,425,17735,132314
"404","IA",2020-08-21,55,4074,28828
"405","ID",2020-08-21,47,2489,13070
"406","IL",2020-08-21,136,13323,294333
"407","IN",2020-08-21,95,5685,66258
"408","KS",2020-08-21,17,2971,20301
"409","KY",2020-08-21,60,3967,43858
"410","LA",2020-08-21,257,4983,96812
"411","MA",2020-08-21,88,2685,131120
"412","MD",2020-08-21,43,4024,89970
"413","ME",2020-08-21,3,170,18652
"414","MI",2020-08-21,68,3894,160657
"415","MN",2020-08-21,60,4410,63581
"416","MO",2020-08-21,84,7694,63543
"417","MS",2020-08-21,171,5393,13367
"418","MT",2020-08-21,8,675,8091
"419","NC",2020-08-21,181,9742,143741
"420","ND",2020-08-21,7,1152,9257
"421","NE",2020-08-21,13,1688,17855
"422","NH",2020-08-21,6,129,7937
"423","NJ",2020-08-21,48,1653,184198
"424","NM",2020-08-21,37,964,43369
"425","NV",2020-08-21,140,4684,23423
"426","NY",2020-08-21,46,4345,546086
"427","OH",2020-08-21,171,6489,150997
"428","OK",2020-08-21,71,4849,52811
"429","OR",2020-08-21,29,1808,36406
"430","PA",2020-08-21,113,4683,94770
"431","RI",2020-08-21,9,687,15302
"432","SC",2020-08-21,255,5537,45860
"433","SD",2020-08-21,9,860,6901
"434","TN",2020-08-21,223,10386,158809
"435","TX",2020-08-21,1449,46987,250998
"436","UT",2020-08-21,23,2469,27111
"437","VA",2020-08-21,66,6022,115667
"438","VT",2020-08-21,0,40,9541
"439","WA",2020-08-21,101,3180,81943
"440","WI",2020-08-21,43,5070,58425
"441","WV",2020-08-21,13,792,38827
"442","AK",2020-08-14,2,581,26497
"443","AL",2020-08-14,158,8008,67560
"444","AR",2020-08-14,66,4353,32784
"445","AZ",2020-08-14,342,6668,56062
"446","CA",2020-08-14,985,62659,897057
"447","CO",2020-08-14,34,2783,39220
"448","CT",2020-08-14,12,577,72480
"449","DC",2020-08-14,5,529,27051
"450","DE",2020-08-14,5,895,11796
"451","FL",2020-08-14,1225,45210,218416
"452","GA",2020-08-14,456,22891,194033
"453","IA",2020-08-14,53,3067,28470
"454","ID",2020-08-14,28,3232,16289
"455","IL",2020-08-14,108,12215,288547
"456","IN",2020-08-14,90,6378,63007
"457","KS",2020-08-14,22,3247,23284
"458","KY",2020-08-14,40,4502,54146
"459","LA",2020-08-14,223,7991,124019
"460","MA",2020-08-14,94,2240,123237
"461","MD",2020-08-14,66,5069,98380
"462","ME",2020-08-14,2,101,21220
"463","MI",2020-08-14,42,5254,219302
"464","MN",2020-08-14,58,4538,58737
"465","MO",2020-08-14,34,7891,64238
"466","MS",2020-08-14,195,5494,18336
"467","MT",2020-08-14,11,784,11321
"468","NC",2020-08-14,179,9358,-71768
"469","ND",2020-08-14,7,998,9907
"470","NE",2020-08-14,20,1839,18483
"471","NH",2020-08-14,3,179,12972
"472","NJ",2020-08-14,57,3103,173946
"473","NM",2020-08-14,28,1214,44895
"474","NV",2020-08-14,125,5216,25990
"475","NY",2020-08-14,42,4525,528336
"476","OH",2020-08-14,132,7882,148432
"477","OK",2020-08-14,44,4642,52785
"478","OR",2020-08-14,37,1977,33437
"479","PA",2020-08-14,148,5671,105119
"480","RI",2020-08-14,7,597,11295
"481","SC",2020-08-14,242,6622,77201
"482","SD",2020-08-14,6,653,6634
"483","TN",2020-08-14,120,11676,138335
